country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hungary,,,,,,,,,,,,,,,,,,,,,,71.2,75.5,86.1,83.3,86,74.8,67.1,63.7,66.3,60.7,58.9,58.6,59.4,62.6,64.9,68.1,68.7,72.1,80.3,81,90.2,93.9,94.1,98.2,97,97.5,
Iceland,,,,,,,,,,,,,,,,,,,,,30.4,31.8,38.2,43.7,44.8,47,46.3,68.7,63.6,59.6,58.9,61,57,55,48.6,38.5,43.3,41.2,79,98.6,105,113,112,,,,74.7,
India,,,,,,,,,,,,,,,,,,,,,51.5,50.7,50.4,52.5,50.3,48.1,46.3,51,51,52,55.7,59.8,63.4,63,63.4,63.1,61,58.2,57.9,56,52.2,51.6,50.7,50.3,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,45.7,40.3,42.7,37.5,36.6,30.8,23.9,72.5,55.2,45.2,,,32.2,29.7,,,,,34.2,30,26.2,24.9,25,27.8,27.4,30.3,31.4,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,28.6,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,49.2,38.9,35.1,33.8,32.4,30.9,30.8,27,27,46.8,66.7,82.7,112,130,131,121,88.8,83.6,
Israel,,,,,,,,,,,,,,,,,,,,,139,124,120,118,109,104,103,97.3,98.2,91.4,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,71.7,77.7,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,139,233,124,112,94.7,83.9,72.3,73.7,81.7,89,98.3,118,128,127,122,121,118,113,120,135,136,134,138,136,132,125,123,
Japan,,,,,,,,,,,,,,,,,,,,,52.9,38.9,39.6,42.9,56,61.7,66.5,74.1,81.6,92,100,104,114,124,130,130,131,134,140,159,162,178,186,189,194,197,196,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52,8.8,10.5,10.8,12.6,19.3,16.8,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9,72.5,60.5,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9,107,129,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,32.7,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,2.43,1.89,2.53,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,109,140,132,126,184,120,,,,,112,96.8,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,28,27.4,41.4,36.3,40.6,39.5,55.2,48.7
Malaysia,,,,,,,,,,,,,,,,,,,,,79.5,73.3,64.4,55.7,47.6,41.1,,,,,,,43,45.1,45.7,42.1,40.6,40.1,39.8,50.8,49.6,50,51.6,53,52.7,54.5,52.7,
Maldives,,,,,,,,,,,,,,,,,,,,,30.8,35.6,41.6,45.6,44.2,47.4,43,39.7,41,40.1,40.9,31.2,33.6,30.4,27.3,33.9,29.5,29.2,30.3,46.2,54.9,57.3,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,46.9,52.9,56.9,66.6,69.8,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6,64.5,63.8,53,48,41.4,50.3,48.5,50.4,
Mauritius,,,,,,,,,,,,,,,,,,,,,39.7,39.9,32,30.2,31.2,32.9,35.8,35.8,33.6,31.8,32.7,30.7,40.4,46.4,40.2,43.1,38,34.7,33.7,36.6,36.8,35.5,36.5,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,46.4,38.1,28.1,20.4,28.2,32.5,25.2,20.6,22.2,20.5,19.1,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,25.5,24.2,25.3,27.2,26.4,23.5,30.1,25.6,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,40.1,48.1,85.8,77.9,73,60.8,59.6,52.5,52,32.4,29.2,23.2,18.4,27.6,26.3,23.7,24.3,23.7,24.8,25.3,37.9,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,20.6,41.4,51.4,37.1,49.5,54.6,71.6,83.9,78.4,69.1,,95.7,,,50.5,43.5,,59.5,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,87.2,62.1,70.9,74.1,69.8,68.4,,64.5,61.2,61.6,,,54,,,,54.8,50.9,45.4,47.5,51,55.6,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15.8,16.9,23.1,20.7,23.3,23.1,,,
